pokemon_id,move_id,name,TM
460,92,Toxic,TM06
460,258,Hail,TM07
460,237,Hidden Power,TM10
460,58,Ice Beam,TM13
460,59,Blizzard,TM14
460,63,Hyper Beam,TM15
460,113,Light Screen,TM16
460,182,Protect,TM17
460,240,Rain Dance,TM18
460,219,Safeguard,TM20
460,218,Frustration,TM21
460,76,Solar Beam,TM22
460,89,Earthquake,TM26
460,216,Return,TM27
460,247,Shadow Ball,TM30
460,280,Brick Break,TM31
460,104,Double Team,TM32
460,317,Rock Tomb,TM39
460,263,Facade,TM42
460,156,Rest,TM44
460,213,Attract,TM45
460,496,Round,TM48
460,411,Focus Blast,TM52
460,412,Energy Ball,TM53
460,374,Fling,TM56
460,416,Giga Impact,TM68
460,148,Flash,TM70
460,14,Swords Dance,TM75
460,523,Bulldoze,TM78
460,524,Frost Breath,TM79
460,157,Rock Slide,TM80
460,447,Grass Knot,TM86
460,207,Swagger,TM87
460,214,Sleep Talk,TM88
460,164,Substitute,TM90
460,249,Rock Smash,TM94
460,590,Confide,TM100
460,70,Strength,HM04
063,473,Psyshock,TM03
063,347,Calm Mind,TM04
063,92,Toxic,TM06
063,237,Hidden Power,TM10
063,241,Sunny Day,TM11
063,269,Taunt,TM12
063,113,Light Screen,TM16
063,182,Protect,TM17
063,240,Rain Dance,TM18
063,219,Safeguard,TM20
063,218,Frustration,TM21
063,216,Return,TM27
063,94,Psychic,TM29
063,247,Shadow Ball,TM30
063,104,Double Team,TM32
063,115,Reflect,TM33
063,259,Torment,TM41
063,263,Facade,TM42
063,156,Rest,TM44
063,213,Attract,TM45
063,168,Thief,TM46
063,496,Round,TM48
063,412,Energy Ball,TM53
063,374,Fling,TM56
063,451,Charge Beam,TM57
063,373,Embargo,TM63
063,148,Flash,TM70
063,86,Thunder Wave,TM73
063,244,Psych Up,TM77
063,138,Dream Eater,TM85
063,447,Grass Knot,TM86
063,207,Swagger,TM87
063,214,Sleep Talk,TM88
063,164,Substitute,TM90
063,433,Trick Room,TM92
063,605,Dazzling Gleam,TM99
063,590,Confide,TM100
359,468,Hone Claws,TM01
359,347,Calm Mind,TM04
359,92,Toxic,TM06
359,258,Hail,TM07
359,237,Hidden Power,TM10
359,241,Sunny Day,TM11
359,269,Taunt,TM12
359,58,Ice Beam,TM13
359,59,Blizzard,TM14
359,63,Hyper Beam,TM15
359,182,Protect,TM17
359,240,Rain Dance,TM18
359,218,Frustration,TM21
359,85,Thunderbolt,TM24
359,9,Thunder,TM25
359,216,Return,TM27
359,247,Shadow Ball,TM30
359,104,Double Team,TM32
359,53,Flamethrower,TM35
359,201,Sandstorm,TM37
359,126,Fire Blast,TM38
359,317,Rock Tomb,TM39
359,332,Aerial Ace,TM40
359,259,Torment,TM41
359,263,Facade,TM42
359,156,Rest,TM44
359,213,Attract,TM45
359,168,Thief,TM46
359,496,Round,TM48
359,497,Echoed Voice,TM49
359,206,False Swipe,TM54
359,451,Charge Beam,TM57
359,510,Incinerate,TM59
359,261,Will-O-Wisp,TM61
359,421,Shadow Claw,TM65
359,371,Payback,TM66
359,514,Retaliate,TM67
359,416,Giga Impact,TM68
359,148,Flash,TM70
359,444,Stone Edge,TM71
359,86,Thunder Wave,TM73
359,14,Swords Dance,TM75
359,244,Psych Up,TM77
359,157,Rock Slide,TM80
359,404,X-Scissor,TM81
359,138,Dream Eater,TM85
359,207,Swagger,TM87
359,214,Sleep Talk,TM88
359,164,Substitute,TM90
359,249,Rock Smash,TM94
359,555,Snarl,TM95
359,399,Dark Pulse,TM97
359,590,Confide,TM100
359,15,Cut,HM01
359,70,Strength,HM04
617,92,Toxic,TM06
617,474,Venoshock,TM09
617,237,Hidden Power,TM10
617,63,Hyper Beam,TM15
617,182,Protect,TM17
617,240,Rain Dance,TM18
617,218,Frustration,TM21
617,216,Return,TM27
617,104,Double Team,TM32
617,188,Sludge Bomb,TM36
617,201,Sandstorm,TM37
617,263,Facade,TM42
617,156,Rest,TM44
617,213,Attract,TM45
617,496,Round,TM48
617,411,Focus Blast,TM52
617,412,Energy Ball,TM53
617,416,Giga Impact,TM68
617,522,Struggle Bug,TM76
617,611,Infestation,TM83
617,207,Swagger,TM87
617,214,Sleep Talk,TM88
617,369,U-turn,TM89
617,164,Substitute,TM90
617,590,Confide,TM100
681,92,Toxic,TM06
681,237,Hidden Power,TM10
681,63,Hyper Beam,TM15
681,182,Protect,TM17
681,240,Rain Dance,TM18
681,218,Frustration,TM21
681,216,Return,TM27
681,247,Shadow Ball,TM30
681,280,Brick Break,TM31
681,104,Double Team,TM32
681,115,Reflect,TM33
681,332,Aerial Ace,TM40
681,263,Facade,TM42
681,156,Rest,TM44
681,213,Attract,TM45
681,206,False Swipe,TM54
681,421,Shadow Claw,TM65
681,514,Retaliate,TM67
681,416,Giga Impact,TM68
681,360,Gyro Ball,TM74
681,14,Swords Dance,TM75
681,157,Rock Slide,TM80
681,207,Swagger,TM87
681,214,Sleep Talk,TM88
681,164,Substitute,TM90
681,430,Flash Cannon,TM91
681,249,Rock Smash,TM94
681,590,Confide,TM100
681,15,Cut,HM01
142,468,Hone Claws,TM01
142,337,Dragon Claw,TM02
142,46,Roar,TM05
142,92,Toxic,TM06
142,237,Hidden Power,TM10
142,241,Sunny Day,TM11
142,269,Taunt,TM12
142,63,Hyper Beam,TM15
142,182,Protect,TM17
142,240,Rain Dance,TM18
142,355,Roost,TM19
142,218,Frustration,TM21
142,479,Smack Down,TM23
142,89,Earthquake,TM26
142,216,Return,TM27
142,104,Double Team,TM32
142,53,Flamethrower,TM35
142,201,Sandstorm,TM37
142,126,Fire Blast,TM38
142,317,Rock Tomb,TM39
142,332,Aerial Ace,TM40
142,259,Torment,TM41
142,263,Facade,TM42
142,156,Rest,TM44
142,213,Attract,TM45
142,168,Thief,TM46
142,496,Round,TM48
142,211,Steel Wing,TM51
142,507,Sky Drop,TM58
142,510,Incinerate,TM59
142,371,Payback,TM66
142,416,Giga Impact,TM68
142,397,Rock Polish,TM69
142,444,Stone Edge,TM71
142,523,Bulldoze,TM78
142,157,Rock Slide,TM80
142,207,Swagger,TM87
142,214,Sleep Talk,TM88
142,164,Substitute,TM90
142,249,Rock Smash,TM94
142,590,Confide,TM100
142,19,Fly,HM02
142,70,Strength,HM04
306,468,Hone Claws,TM01
306,337,Dragon Claw,TM02
306,46,Roar,TM05
306,92,Toxic,TM06
306,237,Hidden Power,TM10
306,241,Sunny Day,TM11
306,269,Taunt,TM12
306,58,Ice Beam,TM13
306,59,Blizzard,TM14
306,63,Hyper Beam,TM15
306,182,Protect,TM17
306,240,Rain Dance,TM18
306,218,Frustration,TM21
306,76,Solar Beam,TM22
306,479,Smack Down,TM23
306,85,Thunderbolt,TM24
306,9,Thunder,TM25
306,89,Earthquake,TM26
306,216,Return,TM27
306,91,Dig,TM28
306,280,Brick Break,TM31
306,104,Double Team,TM32
306,53,Flamethrower,TM35
306,201,Sandstorm,TM37
306,126,Fire Blast,TM38
306,317,Rock Tomb,TM39
306,332,Aerial Ace,TM40
306,263,Facade,TM42
306,156,Rest,TM44
306,213,Attract,TM45
306,496,Round,TM48
306,411,Focus Blast,TM52
306,374,Fling,TM56
306,510,Incinerate,TM59
306,421,Shadow Claw,TM65
306,371,Payback,TM66
306,416,Giga Impact,TM68
306,397,Rock Polish,TM69
306,444,Stone Edge,TM71
306,86,Thunder Wave,TM73
306,523,Bulldoze,TM78
306,157,Rock Slide,TM80
306,525,Dragon Tail,TM82
306,207,Swagger,TM87
306,214,Sleep Talk,TM88
306,164,Substitute,TM90
306,430,Flash Cannon,TM91
306,249,Rock Smash,TM94
306,399,Dark Pulse,TM97
306,612,Power-Up Punch,TM98
306,590,Confide,TM100
306,15,Cut,HM01
306,57,Surf,HM03
306,70,Strength,HM04
190,468,Hone Claws,TM01
190,92,Toxic,TM06
190,237,Hidden Power,TM10
190,241,Sunny Day,TM11
190,269,Taunt,TM12
190,182,Protect,TM17
190,240,Rain Dance,TM18
190,218,Frustration,TM21
190,76,SolarBeam,TM22
190,85,Thunderbolt,TM24
190,9,Thunder,TM25
190,216,Return,TM27
190,91,Dig,TM28
190,247,Shadow Ball,TM30
190,280,Brick Break,TM31
190,104,Double Team,TM32
