pokemon_ID1, name1, pokemon_ID2, name2, how
001,bulbasaur,002,ivysaur,(Level 16)
002,ivysaur,003,venusaur,(Level 32)
004,charmander,005,charmeleon,(Level 16)
005,charmeleon,006,charizard,(Level 36)
007,squirtle,008,wartortle,(Level 16)
008,wartortle,009,blastoise,(Level 36)
010,caterpie,011,metapod,(Level 7)
011,metapod,012,butterfree,(Level 10)
013,weedle,014,kakuna,(Level 7)
014,kakuna,015,beedrill,(Level 10)
016,pidgey,017,pidgeotto,(Level 18)
017,pidgeotto,018,pidgeot,(Level 36)
019,rattata,020,raticate,(Level 20)
021,spearow,022,fearow,(Level 20)
023,ekans,024,arbok,(Level 22)
172,pichu,025,pikachu,(Happiness)
025,pikachu,026,raichu,(use Thunderstone)
027,sandshrew,028,sandslash,(Level 22)
029,nidoran-f,030,nidorina,(Level 16)
030,nidorina,031,nidoqueen,(use Moon Stone)
032,nidoran-m,033,nidorino,(Level 16)
033,nidorino,034,nidoking,(use Moon Stone)
173,cleffa,035,clefairy,(Happiness)
035,clefairy,036,clefable,(use Moon Stone)
037,vulpix,038,ninetales,(use Fire Stone)
174,igglybuff,039,jigglypuff,(Happiness)
039,jigglypuff,040,wigglytuff,(use Moon Stone)
041,zubat,042,golbat,(Level 22)
042,golbat,169,crobat,(Happiness)
043,oddish,044,gloom,(Level 21)
044,gloom,045,vileplume,(use Leaf Stone) 
044,gloom,182,bellossom,(use Sun Stone)
046,paras,047,parasect,(Level 24)
048,venonat,049,venomoth,(Level 31)
050,diglett,051,dugtrio,(Level 26)
052,meowth,053,persian,(Level 28)
054,psyduck,055,golduck,(Level 33)
056,mankey,057,primeape,(Level 28)
058,growlithe,059,arcanine,(use Fire Stone)
060,poliwag,061,poliwhirl,(Level 25)
061,poliwhirl,062,poliwrath,(use Water Stone) 
061,poliwhirl,186,politoed,(trade holding King's Rock)
063,abra,064,kadabra,(Level 16)
064,kadabra,065,alakazam,(Trade)
066,machop,067,machoke,(Level 28)
067,machoke,068,machamp,(Trade)
069,bellsprout,070,weepinbell,(Level 21)
070,weepinbell,071,victreebel,(use Leaf Stone)
072,tentacool,073,tentacruel,(Level 30)
074,geodude,075,graveler,(Level 25)
075,graveler,076,golem,(Trade)
077,ponyta,078,rapidash,(Level 40)
079,slowpoke,080,slowbro,(Level 37) 
079,slowpoke,199,slowking,(trade holding King's Rock)
081,magnemite,082,magneton,(Level 30)
082,magneton,462,magnezone,(in Mt. Coronet or Chargestone Cavern)
084,doduo,085,dodrio,(Level 31)
086,seel,087,dewgong,(Level 34)
088,grimer,089,muk,(Level 38)
090,shellder,091,cloyster,(use Water Stone)
092,gastly,093,haunter,(Level 25)
093,haunter,094,gengar,(Trade)
095,onix,208,steelix,(trade holding Metal Coat)
096,drowzee,097,hypno,(Level 26)
098,krabby,099,kingler,(Level 28)
100,voltorb,101,electrode,(Level 30)
102,exeggcute,103,exeggutor,(use Leaf Stone)
104,cubone,105,marowak,(Level 28)
236,tyrogue,106,hitmonlee,(Level 20, Attack &gt; Defense)
236,tyrogue,107,hitmonchan,(Level 20, Attack &lt; Defense)
236,tyrogue,237,hitmontop,(Level 20, Attack = Defense)
108,lickitung,463,lickilicky,(after Rollout learned)
