pokemon_id,move_id,name,level
460,8,Ice Punch,Start
460,181,Powder Snow,Start
460,43,Leer,Start
460,75,Razor Leaf,Start
460,196,Icy Wind,Start
460,75,Razor Leaf,5
460,196,Icy Wind,9
460,320,Grass Whistle,13
460,207,Swagger,17
460,54,Mist,21
460,420,Ice Shard,26
460,275,Ingrain,31
460,452,Wood Hammer,36
460,59,Blizzard,47
460,329,Sheer Cold,58
063,100,Teleport,Start
359,195,Perish Song,Start
359,382,Me First,Start
359,13,Razor Wind,Start
359,197,Detect,Start
359,269,Taunt,Start
359,10,Scratch,Start
359,185,Feint,Start
359,43,Leer,4
359,98,Quick Attack,9
359,228,Pursuit,12
359,269,Taunt,17
359,44,Bite,20
359,104,Double Team,25
359,163,Slash,28
359,14,Swords Dance,33
359,248,Future Sight,36
359,400,Night Slash,41
359,197,Detect,44
359,427,Psycho Cut,47
359,389,Sucker Punch,50
359,13,Razor Wind,57
359,382,Me First,60
359,195,Perish Song,65
617,515,Final Gambit,Start
617,384,Power Swap,Start
617,141,Leech Life,Start
617,491,Acid Spray,Start
617,104,Double Team,Start
617,98,Quick Attack,Start
617,491,Acid Spray,4
617,104,Double Team,8
617,98,Quick Attack,13
617,522,Struggle Bug,16
617,72,Mega Drain,20
617,129,Swift,25
617,382,Me First,28
617,97,Agility,32
617,202,Giga Drain,37
617,369,U-turn,40
617,405,Bug Buzz,44
617,105,Recover,49
617,384,Power Swap,52
617,515,Final Gambit,56
681,210,Fury Cutter,Start
681,228,Pursuit,Start
681,475,Autotomize,Start
681,425,Shadow Sneak,Start
681,163,Slash,Start
681,334,Iron Defense,Start
681,400,Night Slash,Start
681,379,Power Trick,Start
681,442,Iron Head,Start
681,457,Head Smash,Start
681,14,Swords Dance,Start
681,332,Aerial Ace,Start
681,588,King's Shield,Start
681,533,Sacred Sword,Start
142,442,Iron Head,Start
142,423,Ice Fang,Start
142,424,Fire Fang,Start
142,422,Thunder Fang,Start
142,17,Wing Attack,Start
142,48,Supersonic,Start
142,44,Bite,Start
142,184,Scary Face,Start
142,46,Roar,9
142,97,Agility,17
142,246,Ancient Power,25
142,242,Crunch,33
142,36,Take Down,41
142,507,Sky Drop,49
142,442,Iron Head,57
142,63,Hyper Beam,65
142,157,Rock Slide,73
142,416,Giga Impact,81
306,33,Tackle,Start
306,106,Harden,Start
306,189,Mud-Slap,Start
306,29,Headbutt,Start
306,189,Mud-Slap,4
306,29,Headbutt,8
306,232,Metal Claw,11
306,334,Iron Defense,15
306,46,Roar,18
306,36,Take Down,22
306,442,Iron Head,25
306,182,Protect,29
306,319,Metal Sound,34
306,231,Iron Tail,40
306,475,Autotomize,48
306,484,Heavy Slam,57
306,38,Double-Edge,65
306,368,Metal Burst,74
190,10,Scratch,Start
190,39,Tail Whip,Start
190,28,Sand Attack,4
190,310,Astonish,8
190,226,Baton Pass,11
190,321,Tickle,15
190,154,Fury Swipes,18
190,129,Swift,22
190,103,Screech,25
190,97,Agility,29
190,458,Double Hit,32
190,374,Fling,36
190,417,Nasty Plot,39
190,387,Last Resort,43
065,100,Teleport,Start
065,134,Kinesis,Start
065,93,Confusion,Start
065,93,Confusion,16
065,50,Disable,18
065,357,Miracle Eye,22
065,502,Ally Switch,24
065,60,Psybeam,28
065,115,Reflect,30
065,477,Telekinesis,34
065,105,Recover,36
065,427,Psycho Cut,40
065,347,Calm Mind,42
065,94,Psychic,46
065,248,Future Sight,48
065,271,Trick,50
594,56,Hydro Pump,Start
594,469,Wide Guard,Start
594,361,Healing Wish,Start
594,1,Pound,Start
594,346,Water Sport,Start
594,392,Aqua Ring,5
594,453,Aqua Jet,9
594,3,DoubleSlap,13
594,505,Heal Pulse,17
